Expansion,Energy_Barrier,Stiffness,t,theta,L,s,gap,expL,area E
0.34901736161061314,0.3228327496413984,1.2400010152817629,0.20348,-0.0714,1,0.486988143,0.425573447,1.425573447,2.032259654
0.35526531012851786,0.2727623093241631,0.8602668938832513,0.20438,-0.119,1,0.54772576,0.43122445,1.43122445,2.048403425
0.3519257110627156,0.2966252856967864,1.0504062990610763,0.20461,-0.0952,1,0.515376208,0.428189819,1.428189819,2.03972616
0.34252056656834656,0.16999079053240052,0.5641084347711979,0.20685,-0.1904,1,0.632582249,0.413794243,1.413794243,1.998814162
0.3233198430158319,0.10891636779249825,0.4060047111257072,0.20725,-0.238,1,0.691305071,0.389525552,1.389525552,1.930781259
0.3407844960159016,0.187773403,0.7382554402766762,0.21037,-0.1666,1,0.590585243,0.412776344,1.412776344,1.995936998
0.3133615675563281,0.2788303427559984,0.8918475639253541,0.21081,-0.0476,1,0.432194356,0.396085747,1.396085747,1.949055414
0.3248438342209888,0.12535589,0.5773110870806718,0.21245,-0.2142,1,0.64431828,0.392371811,1.392371811,1.938699261
0.3375902341812389,0.20485163486068247,0.92626721,0.21292,-0.1428,1,0.55157602,0.409999854,1.409999854,1.98809959
0.31582920191976527,0.256269204,0.7446703398178918,0.21348,-0.0714,1,0.455828946,0.398343776,1.398343776,1.955365317
0.32371074055638405,0.2215574390078822,0.41158738706394987,0.21438,-0.119,1,0.515881645,0.40615358,1.40615358,1.977267891
0.31953572536562924,0.2381547898351079,0.5714347762723959,0.21461,-0.0952,1,0.483865628,0.402009896,1.402009896,1.965631749
0.32394749808679635,0.13943528552466042,0.7525051501302574,0.21685,-0.1904,1,0.599846455,0.392380612,1.392380612,1.938723769
0.2980442251398401,0.090585228,0.18428650267689095,0.21725,-0.238,1,0.658067254,0.370797237,1.370797237,1.879085065
0.30415758941301246,0.2785677225667111,1.1963562893803128,0.21,-0.0238,1,0.402458158,0.38575529,1.38575529,1.920317724
0.2658431623664485,0.22794003007577768,1.2183717514509913,0.21,0.0238,1,0.337332269,0.351141205,1.351141205,1.825582556
0.23986955182373593,0.18191920098604936,0.950455272,0.21,0.0476,1,0.304473468,0.329221626,1.329221626,1.766830131
0.21278026366543903,0.12412500699374307,0.9448728635340571,0.21,0.0714,1,0.271442209,0.304290919,1.304290919,1.7011748
0.17846870946229232,0.059792469,0.522053904,0.21,0.0952,1,0.238257202,0.276405559,1.276405559,1.629211151
0.2816326530612244,0.2603811586716342,0.6774710911135546,0.21,0,1,0.37,0.37,1.37,1.8769
0.13957389174606918,0.005056554,0.3471279813558017,0.21,0.119,1,0.204937243,0.245628717,1.245628717,1.5515909
NULL,NULL,NULL,0.21,0.1428,1,0.171501205,0.212030111,1.212030111,1.469016991
NULL,NULL,NULL,0.21,0.1666,1,0.137968026,0.175685855,1.175685855,1.382237231
NULL,NULL,NULL,0.21,0.1904,1,0.1043567,0.13667828,1.13667828,1.292037513
0.3116643215416907,0.15279430368385807,0.3795439772342898,0.22037,-0.1666,1,0.558128348,0.390091323,1.390091323,1.932353886
0.2808308737347825,0.2083537869061057,0.5257699794828149,0.22081,-0.0476,1,0.401404191,0.367868013,1.367868013,1.871062901
0.28040215881194314,0.06305058,0.21302449719551025,0.22132,-0.2618,1,0.673663153,0.348712911,1.348712911,1.819026517
0.2983739378457157,0.10209852112912504,0.3062879063910294,0.22245,-0.2142,1,0.61132213,0.372278079,1.372278079,1.883147126
0.30753697036022654,0.16446594087682953,0.5337096210412605,0.22292,-0.1428,1,0.519416408,0.386094833,1.386094833,1.921258886
0.28403031151212293,0.19470777142012605,0.3743156440109367,0.22348,-0.0714,1,0.42466975,0.371114106,1.371114106,1.879953891
0.3026051506939125,0.17514481247340333,0.7214896696918274,0.22438,-0.119,1,0.48403753,0.381082711,1.381082711,1.907389455
0.297496496,0.18426745383246673,0.9325464297422912,0.22461,-0.0952,1,0.452355048,0.375829973,1.375829973,1.892908115
0.29639282873450373,0.11242413293913096,0.4423151382028889,0.22685,-0.1904,1,0.567110661,0.370966981,1.370966981,1.879550463
0.28227801441137274,0.073023111,0.3440144377395882,0.22725,-0.238,1,0.624829437,0.352068922,1.352068922,1.82809037
0.27115140523906534,0.20180814265836342,0.8517012308019714,0.22,-0.0238,1,0.372054465,0.356613415,1.356613415,1.840399957
0.23318619984055988,0.14247736365777686,1.1020334712283835,0.22,0.0238,1,0.307752954,0.32035104,1.32035104,1.743326869
0.20801658711885276,0.097127569,1.0819990071479217,0.22,0.0476,1,0.275331593,0.297711046,1.297711046,1.684053959
0.1756237637815306,0.046456599,0.6439017365242461,0.22,0.0714,1,0.24275428,0.272131306,1.272131306,1.618318059
0.13846964580551613,0.002984666,0.4171117156996651,0.22,0.0952,1,0.210039468,0.243669765,1.243669765,1.546714485
0.24910714285714272,0.17762231110712423,0.4841797789971135,0.22,0,1,0.34,0.34,1.34,1.7956
NULL,NULL,NULL,0.22,0.119,1,0.177205687,0.2123909,1.2123909,1.469891693
NULL,NULL,NULL,0.22,0.1428,1,0.144271534,0.178365566,1.178365566,1.388545407
NULL,NULL,NULL,0.22,0.1666,1,0.111255664,0.141670842,1.141670842,1.303412312
0.29256722047971234,0.12086402434799552,0.6162068203868594,0.23037,-0.1666,1,0.525671453,0.367406302,1.367406302,1.869799995
0.2577959849907011,0.14566336129488097,1.0668973509127297,0.23081,-0.0476,1,0.370614026,0.339650279,1.339650279,1.79466287
0.26582111885026644,0.05002165,0.3603052386633906,0.23132,-0.2618,1,0.640202496,0.33139244,1.33139244,1.772605829
0.281458272,0.080906084,0.4846628644951434,0.23245,-0.2142,1,0.57832598,0.352184346,1.352184346,1.828402506
0.28741283107395627,0.12748661031632488,0.8183910515507672,0.23292,-0.1428,1,0.487256795,0.362189812,1.362189812,1.855561083
0.26180200298083706,0.1404216370758733,0.8493905045709008,0.23348,-0.0714,1,0.393510553,0.343884435,1.343884435,1.806025374
